NAME,DATE,TMAX,TMIN,MONTH
"BLACKPOOL SQUIRES GATE, UK",2023-01-18,44.0,24.0,1
"BLACKPOOL SQUIRES GATE, UK",2023-01-19,46.0,38.0,1
"BLACKPOOL SQUIRES GATE, UK",2023-01-20,38.0,33.0,1
"BLACKPOOL SQUIRES GATE, UK",2023-01-21,38.0,26.0,1
"BLACKPOOL SQUIRES GATE, UK",2023-01-22,44.0,29.0,1
"BLACKPOOL SQUIRES GATE, UK",2023-01-23,45.0,35.0,1
"BLACKPOOL SQUIRES GATE, UK",2023-01-24,47.0,38.0,1
"BLACKPOOL SQUIRES GATE, UK",2023-01-25,47.0,40.0,1
"BLACKPOOL SQUIRES GATE, UK",2023-01-26,44.0,30.0,1
"BLACKPOOL SQUIRES GATE, UK",2023-01-27,45.0,35.0,1
"BLACKPOOL SQUIRES GATE, UK",2023-01-28,49.0,33.0,1
"BLACKPOOL SQUIRES GATE, UK",2023-01-29,48.0,42.0,1
"BLACKPOOL SQUIRES GATE, UK",2023-01-30,47.0,44.0,1
"BLACKPOOL SQUIRES GATE, UK",2023-01-31,47.0,44.0,1
"SUTTON BONINGTON, UK",2023-01-01,45.0,47.0,1
"SUTTON BONINGTON, UK",2023-01-02,55.0,39.0,1
"SUTTON BONINGTON, UK",2023-01-03,55.0,32.0,1
"SUTTON BONINGTON, UK",2023-01-04,54.0,45.0,1
"SUTTON BONINGTON, UK",2023-01-05,55.0,47.0,1
"SUTTON BONINGTON, UK",2023-01-06,54.0,43.0,1
"SUTTON BONINGTON, UK",2023-01-07,49.0,44.0,1
"SUTTON BONINGTON, UK",2023-01-08,47.0,43.0,1
"SUTTON BONINGTON, UK",2023-01-09,56.0,39.0,1
"SUTTON BONINGTON, UK",2023-01-10,53.0,40.0,1
"SUTTON BONINGTON, UK",2023-01-11,54.0,42.0,1
"SUTTON BONINGTON, UK",2023-01-12,52.0,44.0,1
"SUTTON BONINGTON, UK",2023-01-13,52.0,45.0,1
"SUTTON BONINGTON, UK",2023-01-14,44.0,42.0,1
"SUTTON BONINGTON, UK",2023-01-15,40.0,37.0,1
"SUTTON BONINGTON, UK",2023-01-16,36.0,36.0,1
"SUTTON BONINGTON, UK",2023-01-17,40.0,25.0,1
"SUTTON BONINGTON, UK",2023-01-18,38.0,26.0,1
"SUTTON BONINGTON, UK",2023-01-19,44.0,29.0,1
"SUTTON BONINGTON, UK",2023-01-20,36.0,31.0,1
"SUTTON BONINGTON, UK",2023-01-21,38.0,24.0,1
"SUTTON BONINGTON, UK",2023-01-22,44.0,24.0,1
"SUTTON BONINGTON, UK",2023-01-23,45.0,29.0,1
"SUTTON BONINGTON, UK",2023-01-24,49.0,25.0,1
"SUTTON BONINGTON, UK",2023-01-25,46.0,28.0,1
"SUTTON BONINGTON, UK",2023-01-26,43.0,36.0,1
"SUTTON BONINGTON, UK",2023-01-27,46.0,38.0,1
"SUTTON BONINGTON, UK",2023-01-28,48.0,37.0,1
"SUTTON BONINGTON, UK",2023-01-29,49.0,40.0,1
"SUTTON BONINGTON, UK",2023-01-30,50.0,42.0,1
"SUTTON BONINGTON, UK",2023-01-31,50.0,41.0,1
"WATTISHAM, UK",2023-01-01,56.0,,1
"WATTISHAM, UK",2023-01-02,50.0,,1
"WATTISHAM, UK",2023-01-03,,34.0,1
"WATTISHAM, UK",2023-01-04,,,1
"WATTISHAM, UK",2023-01-05,54.0,,1
"WATTISHAM, UK",2023-01-06,,42.0,1
"WATTISHAM, UK",2023-01-07,53.0,,1
"WATTISHAM, UK",2023-01-08,,,1
"WATTISHAM, UK",2023-01-09,,37.0,1
"WATTISHAM, UK",2023-01-10,54.0,36.0,1
"WATTISHAM, UK",2023-01-11,54.0,42.0,1
"WATTISHAM, UK",2023-01-12,,44.0,1
"WATTISHAM, UK",2023-01-13,49.0,40.0,1
"WATTISHAM, UK",2023-01-14,,40.0,1
"WATTISHAM, UK",2023-01-15,45.0,,1
"WATTISHAM, UK",2023-01-16,41.0,,1
"WATTISHAM, UK",2023-01-17,,21.0,1
"WATTISHAM, UK",2023-01-18,38.0,24.0,1
"WATTISHAM, UK",2023-01-19,37.0,24.0,1
"WATTISHAM, UK",2023-01-20,,28.0,1
"WATTISHAM, UK",2023-01-21,41.0,26.0,1
"WATTISHAM, UK",2023-01-22,,24.0,1
"WATTISHAM, UK",2023-01-23,36.0,24.0,1
"WATTISHAM, UK",2023-01-24,,35.0,1
"WATTISHAM, UK",2023-01-25,41.0,31.0,1
"WATTISHAM, UK",2023-01-26,47.0,,1
"WATTISHAM, UK",2023-01-27,45.0,,1
"WATTISHAM, UK",2023-01-28,42.0,32.0,1
"WATTISHAM, UK",2023-01-29,,38.0,1
"WATTISHAM, UK",2023-01-30,47.0,,1
"WATTISHAM, UK",2023-01-31,53.0,32.0,1
"LOSSIEMOUTH, UK",2023-01-01,39.0,29.0,1
"LOSSIEMOUTH, UK",2023-01-02,43.0,30.0,1
"LOSSIEMOUTH, UK",2023-01-03,44.0,30.0,1
"LOSSIEMOUTH, UK",2023-01-04,49.0,37.0,1
"LOSSIEMOUTH, UK",2023-01-05,48.0,33.0,1
"LOSSIEMOUTH, UK",2023-01-06,49.0,30.0,1
"LOSSIEMOUTH, UK",2023-01-07,46.0,37.0,1
"LOSSIEMOUTH, UK",2023-01-08,44.0,40.0,1
"LOSSIEMOUTH, UK",2023-01-09,47.0,32.0,1
"LOSSIEMOUTH, UK",2023-01-10,45.0,36.0,1
"LOSSIEMOUTH, UK",2023-01-11,43.0,40.0,1
"LOSSIEMOUTH, UK",2023-01-12,44.0,32.0,1
"LOSSIEMOUTH, UK",2023-01-13,43.0,31.0,1
"LOSSIEMOUTH, UK",2023-01-14,40.0,30.0,1
"LOSSIEMOUTH, UK",2023-01-15,34.0,32.0,1
"LOSSIEMOUTH, UK",2023-01-16,41.0,28.0,1
"LOSSIEMOUTH, UK",2023-01-17,40.0,29.0,1
"LOSSIEMOUTH, UK",2023-01-18,41.0,32.0,1
"LOSSIEMOUTH, UK",2023-01-19,42.0,30.0,1
"LOSSIEMOUTH, UK",2023-01-20,47.0,31.0,1
"LOSSIEMOUTH, UK",2023-01-21,49.0,25.0,1
"LOSSIEMOUTH, UK",2023-01-22,52.0,41.0,1
"LOSSIEMOUTH, UK",2023-01-23,57.0,42.0,1
"LOSSIEMOUTH, UK",2023-01-24,47.0,44.0,1
"LOSSIEMOUTH, UK",2023-01-25,44.0,45.0,1
"LOSSIEMOUTH, UK",2023-01-26,46.0,40.0,1
"LOSSIEMOUTH, UK",2023-01-27,49.0,30.0,1
"LOSSIEMOUTH, UK",2023-01-28,54.0,34.0,1
"LOSSIEMOUTH, UK",2023-01-29,47.0,36.0,1
"LOSSIEMOUTH, UK",2023-01-30,43.0,39.0,1
"LOSSIEMOUTH, UK",2023-01-31,47.0,38.0,1
"SLAPTON, UK",2023-01-01,51.0,48.0,1
"SLAPTON, UK",2023-01-02,55.0,36.0,1
"SLAPTON, UK",2023-01-03,55.0,39.0,1
"SLAPTON, UK",2023-01-04,55.0,51.0,1
"SLAPTON, UK",2023-01-05,54.0,51.0,1
"SLAPTON, UK",2023-01-06,54.0,42.0,1
"SLAPTON, UK",2023-01-07,48.0,46.0,1
"SLAPTON, UK",2023-01-08,54.0,43.0,1
"SLAPTON, UK",2023-01-09,55.0,42.0,1
"SLAPTON, UK",2023-01-10,53.0,39.0,1
"SLAPTON, UK",2023-01-11,53.0,45.0,1
